3	18.03
4	10.74
8	2.67
9	4.90
11	16.10
15	28.86
17	14.67
19	4.29
21	5.76
27	1.67
28	26.60
29	11.42
30	19.38
35	27.29
36	3.06
37	28.26
39	11.65
42	2.46
43	8.10
44	3.73
46	12.26
47	4.76
48	21.01
52	5.13
53	3.19
54	18.43
58	1.85
59	4.42
60	3.47
61	3.54
62	11.39
63	6.05
69	5.05
70	18.85
71	7.29
73	16.43
77	7.12
80	2.22
81	4.87
82	8.39
83	11.44
84	7.11
86	1.25
87	6.70
91	15.58
92	0.56
93	11.33
95	2.93
97	5.53
98	3.03
100	1.29
101	2.85
103	6.12
107	2.66
109	3.34
110	5.91
111	3.15
113	11.53
116	4.53
118	0.95
119	5.23
120	5.28
121	4.36
126	5.28
127	3.88
128	8.62
129	10.34
134	5.56
135	50.92
137	6.01
139	6.37
141	2.02
142	3.55
143	8.96
146	11.04
147	20.63
152	4.37
153	8.15
154	18.67
155	2.72
160	10.78
161	26.10
163	12.33
164	24.61
166	7.34
167	3.73
168	5.95
169	18.94
170	8.55
171	11.19
181	5.38
182	4.34
184	5.71
191	12.62
193	10.74
194	47.55
196	8.57
200	3.65
201	4.59
206	3.94
207	9.86
209	7.57
211	15.29
213	5.93
215	24.64
216	45.49
219	4.11
223	13.32
225	4.36
226	4.00
227	8.98
228	3.82
230	7.82
231	16.76
233	4.17
234	8.25
236	3.15
237	44.23
238	7.45
241	10.12
242	7.90
246	2.12
247	21.29
250	10.16
251	2.42
252	10.57
255	7.34
256	11.13
259	23.21
262	7.57
263	12.14
269	21.65
270	3.55
272	11.94
273	17.43
274	4.93
276	10.69
277	13.75
283	2.60
290	5.82
291	6.54
292	44.29
293	1.15
296	4.19
298	23.05
299	23.12
300	3.33
301	4.27
304	8.68
306	2.86
309	32.81
310	2.32
311	6.08
313	6.18
314	13.01
315	2.49
316	5.27
317	3.31
318	6.36
322	15.68
325	3.67
328	2.57
329	10.50
336	15.87
337	4.89
338	1.43
340	15.00
343	1.07
346	5.46
347	0.63
349	3.18
354	2.15
355	6.50
356	12.63
357	19.59
359	5.85
361	4.71
363	3.99
365	3.67
366	4.09
367	10.92
370	12.75
372	13.41
374	33.01
375	5.12
376	15.33
377	33.05
378	12.01
380	23.10
385	9.68
388	3.89
389	2.51
391	7.23
393	2.64
394	3.02
398	6.93
399	10.83
400	-307.08
403	16.66
405	15.05
408	4.94
409	-0.43
411	18.09
412	13.39
417	5.44
418	7.54
420	5.28
423	11.11
424	3.10
425	5.76
428	2.29
431	11.49
432	3.50
436	1.99
439	5.21
440	4.73
441	3.28
442	18.96
444	4.40
445	26.29
446	6.25
451	17.71
453	9.51
454	4.72
455	6.06
459	28.91
461	8.60
464	6.54
465	9.57
467	4.60
472	3.50
475	11.99
476	1.10
478	3.03
479	3.96
480	5.18
482	31.52
483	1.73
484	8.16
485	8.58
486	12.50
487	6.07
489	8.56
492	11.37
493	0.92
494	7.06
495	2.71
497	4.70
499	10.50
501	2.02
504	9.10
505	11.43
508	7.42
509	9.59
512	3.29
515	14.62
517	1.88
520	18.06
521	8.25
522	9.87
525	6.33
528	2.30
529	8.16
533	3.39
535	12.30
536	3.39
538	8.37
539	1.27
542	20.00
543	3.70
544	8.29
